Расчет траектории ракеты
Время расчета: 2025-07-06 15:48:11

Параметры ракеты:
diameter,0.06
m0,4.0
m_final,3.0
thrust,600.0
burn_time,1.97
g0,9.80665
Площадь поперечного сечения (A):,0.002827 м²

Ключевые результаты:
Скорость в конце активной фазы (м/с),314.65
Высота в конце активной фазы (м),297.60
Максимальная скорость (м/с),314.65
Время макс. скорости (с),1.97
Высота апогея (м),3912.21
Время апогея (с),28.03
Максимальная сила сопротивления (Н),92.51
Время макс. сопротивления (с),1.97
Максимальное число Маха,0.93
Время макс. числа Маха (с),1.97
Максимальный коэффициент Cd,0.5552
Время макс. Cd (с),1.97
Максимальное ускорение (м/с²),176.17
Время макс. ускорения (с),1.73
Площадь поперечного сечения (м²),0.002827

Детальные данные полета:
Время (с),Высота (м),Скорость (м/с),Ускорение (м/с²),Масса (кг),Сила сопротивления (Н),Коэф. сопротивления (Cd),Число Маха (M),Плотность воздуха (кг/м³),Скорость звука (м/с),Гравитация (м/с²)
0.0,0.0,0.0,140.19335,4.0,0.0,0.15,0.0,1.2249781262066513,340.2970287557621,9.80665
9.999999999999999e-05,7.009699225983271e-07,0.014019430178044813,140.1952535646947,3.9999492385786803,5.1055519941620157e-08,0.15,4.119762734754194e-05,1.224978126124218,340.2970287530717,9.806649999997841
0.0005961977035209244,2.4916654756513486e-05,0.08358633650569777,140.2046993460958,3.9996973615718168,1.8148994135746963e-06,0.15,0.00024562758257045997,1.2249781232764825,340.29702866012803,9.806649999923293
0.0035395240978848387,0.000878328025585507,0.49633699830647704,140.2607410026705,3.998203287259957,6.399340846318661e-05,0.15,0.001458540513968708,1.2249780229163458,340.29702538460003,9.806649997296041
0.03297278804152398,0.07632328180305577,4.632926983384215,140.82224244968464,3.9832625441413585,0.005575575594784713,0.15,0.013614373856074021,1.2249691507065665,340.29673581479074,9.806649765036665
0.08297278804152398,0.484396162740513,11.697974649299907,141.78060949038763,3.95788183348146,0.03554537785428142,0.15,0.034375964443969044,1.2249211628195027,340.29516956148154,9.806648508773165
0.132972788041524,1.2469217466159062,18.81108226905761,142.74463669044948,3.9325011228215616,0.09190889755488665,0.15,0.05527919799794393,1.224831496437887,340.29224283892967,9.806646161317984
0.182972788041524,2.366310096417591,25.972532254039262,143.71429999388917,3.907120412161663,0.17519104680986444,0.15,0.07632516088724894,1.2246998751929512,340.2879463615817,9.80664271525287
0.232972788041524,3.8449853651531116,33.182605784060684,144.6895741964027,3.8817397015017643,0.2859187524057738,0.15,0.09751494166503191,1.2245260244364424,340.28227077286664,9.806638163116748
0.282972788041524,5.685385732841635,40.44158275032938,145.67043296072677,3.856358990841866,0.4246207508204786,0.15,0.11884963100621802,1.224309671322712,340.27520664505505,9.806632497405943
0.33297278804152397,7.889963340674516,47.74974169923253,146.6568488345032,3.8309782801819674,0.591827376003616,0.15,0.14033032164905632,1.2240505448919623,340.26674447912256,9.806625710574394
0.38297278804152396,10.46118422238867,55.10735977708324,147.64879327076832,3.805597569522069,0.7880703398847736,0.15,0.16195810834071445,1.2237483761546282,340.25687470461685,9.80661779503388
0.43297278804152395,13.401528232904006,62.51471267595967,148.6462366511994,3.7802168588621705,1.0138825055834306,0.15,0.1837340877873228,1.2234028981769005,340.24558767952817,9.806608743154241
0.48297278804152394,16.713488974283056,69.97207458077818,149.64914831225087,3.7548361482022723,1.2697976533039717,0.15,0.20565935860888937,1.223013846167337,340.23287369016293,9.806598547263635
0.5329727880415239,20.399573719078195,77.47971811774848,150.6574965743222,3.7294554375423736,1.5563502389089157,0.15,0.2277350212995272,1.2225809575645776,340.21872295101997,9.806587199648787
0.582972788041524,24.462303331139385,85.03791430436577,151.67124877409967,3.7040747268824754,1.8740751451737705,0.15,0.24996217819345817,1.2221039721261175,340.20312560466925,9.806574692555229
0.632972788041524,28.90421218396328,92.64693250110274,152.69037130022303,3.6786940162225767,2.223507425737815,0.15,0.27234193343728014,1.2215826320181344,340.18607172163286,9.806561018187583
0.6829727880415241,33.727848076673034,100.30704036497094,153.71482963243122,3.653313305562678,2.6051820417764358,0.15,0.2948753929690064,1.2210166819063306,340.16755130026723,9.806546168709831
0.7329727880415241,38.9357721477265,108.0185038051299,154.74458838434674,3.62793259490278,3.019633591432597,0.15,0.31756366450441287,1.220405869047775,340.14755426664647,9.806530136245584
0.7829727880415241,44.53055878646008,115.78158694072982,155.77961135006498,3.602551884242881,3.467396032057508,0.15,0.3404078575312512,1.219749943383715,340.1260704744469,9.806512912878388
0.8329727880415242,50.514795542584366,123.59655206118244,156.8198615547192,3.5771711735829825,3.94900239532352,0.15,0.3634090833119144,1.2190486576333228,340.103089704831,9.806494490651998
0.8829727880415242,56.8910830337585,131.46365958906316,157.86530130919903,3.5517904629230843,4.464984495285972,0.15,0.38656845489516867,1.2183017673883574,340.0786016663311,9.806474861570692
0.9329727880415243,63.66203485137962,139.3831680458568,158.91589226920536,3.5264097522631856,5.015872629484784,0.15,0.40988708713759076,1.2175090312086978,340.0525959947323,9.806454017599565
0.9829727880415243,70.83027746473539,147.35533402076842,159.971595498832,3.501029041603287,5.602195273191419,0.15,0.43336609673538407,1.2166702107187204,340.0250622529535,9.806431950664855
1.0329727880415243,78.39845012367842,155.38041214283055,161.03237153887065,3.4756483309433888,6.224478766922043,0.15,0.45700660226727396,1.2157850707044768,339.9959899309255,9.806408652654232
1.0829727880415243,86.36920475999358,163.45865505654788,162.09818048004252,3.45026762028349,6.883246997353782,0.15,0.48080972424921553,1.2148533792116454,339.9653684454669,9.80638411541716
1.1329727880415243,94.74520588764105,171.59031340133106,163.16898204136763,3.424886909623592,7.579021071797201,0.15,0.5047765852016801,1.2138749076441941,339.93318714015487,9.806358330765164
1.1829727880415244,103.52913050207135,179.77563579498204,164.2447356538901,3.399506198963693,8.312318986395583,0.15,0.528908309730322,1.2128494308637463,339.89943528519234,9.80633129047221
1.2329727880415244,112.72366797882154,188.01486882150422,165.32540054998574,3.374125488303795,9.083655288238761,0.15,0.5532060246208617,1.2117767272895648,339.8641020772681,9.806302986274993
1.2829727880415245,122.33151997161598,196.30825702352243,166.41093585848668,3.3487447776438963,9.893540731597923,0.15,0.5776708589490588,1.2106565789991357,339.8271766394116,9.806273409873304
1.3329727880415245,132.3554003102095,204.65604289960956,167.50130070586573,3.3233640669839977,10.742481928506411,0.15,0.6023039442066888,1.2094887718292964,339.7886480208389,9.806242552930328
1.3829727880415246,142.7980348982259,213.05846690682918,168.59645432373378,3.2979833563240994,11.630980993930892,0.15,0.6271064144444747,1.208273095477844,339.74850519679035,9.806210407072985
1.4329727880415246,153.66216161126087,221.51576746881628,169.6963561629111,3.272602645664201,12.559535185797511,0.15,0.6520794064329699,1.2070093436055926,339.7067370683586,9.806176963892284
1.4829727880415247,164.95053019553416,230.02818098973162,170.80096601434505,3.247221935004302,13.528636540157878,0.15,0.6772240598424308,1.2056973139388028,339.66333246230516,9.806142214943614
1.5329727880415247,176.66590216739357,238.59594187443892,171.91024413715684,3.221841224344404,14.538771501801047,0.15,0.7025415174427634,1.2043368083719341,339.6182801308643,9.80610615174711
1.5829727880415247,188.81105071399105,247.21928255526865,173.02415139411065,3.1964605136845052,15.590420550639312,0.15,0.7280329253246763,1.2029276330706629,339.57156875153385,9.806068765787947
1.6329727880415248,201.3887605954694,255.89843352574738,174.14264939481038,3.1710798030246066,16.684057824217884,0.15,0.7536994331432223,1.201469598575097,339.5231869268503,9.806030048516668
1.6829727880415248,214.4018280490178,264.63362338168656,175.265700646943,3.1456990923647083,17.820150736721207,0.15,0.7795421943849606,1.1999625199031283,339.4731231841477,9.805989991349506
1.7032833428775933,219.8128653931428,268.19801166314494,175.7231885923832,3.1353891660519833,18.29387570610328,0.15,0.7900904154202841,1.1993362788670352,339.45230372207277,9.805973335024008
